date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-07-15,14700222130.379921,24061363542.23436,203647628746.40338,385900464802.8383
2011-07-16,14631252702.548851,24035821831.30792,202912042231.39157,385418536417.7573
2011-07-17,14646640360.096342,23970791843.21319,203059937498.40753,384218528617.7017
2011-07-18,14449502503.71148,23943834386.15271,200874098643.36893,383738889735.7462
2011-07-19,14619734541.852978,23983155977.986183,202766961291.5005,384457457927.64874
2011-07-20,14780739872.252098,24061363542.23436,204527195804.10263,385900464802.8383
2011-07-21,14671260238.023851,23970791843.21319,203353570431.37204,384218528617.7017
2011-07-22,14753124654.436613,23957517593.422203,204231626800.23798,383977718925.7412
2011-07-23,14723140794.887201,24009938082.79737,203936482758.32407,384938398392.792
2011-07-24,14659297482.582323,23906186861.259556,203204845527.51422,383026415478.3619
2011-07-25,14500665646.381199,23789940314.016388,201453681357.04987,380877328960.6499
2011-07-26,14591176799.765245,23789940314.016388,202474658597.8461,380877328960.6499
2011-07-27,14671260238.023851,23841196014.251377,203353570431.37204,381830417414.748
2011-07-28,14711796911.31073,23828307980.98705,203792961373.5123,381593036193.82275
2011-07-29,14671260238.023851,23828307980.98705,203353570431.37204,381593036193.82275
2011-07-30,14686790664.535902,23841196014.251377,203498816372.58823,381830417414.748
2011-07-31,14631252702.548851,23764799525.41776,202912042231.39157,380401063133.39514
2011-08-01,14686790664.535902,23828307980.98705,203498816372.58823,381593036193.82275
2011-08-02,14711796911.31073,23841196014.251377,203792961373.5123,381830417414.748
2011-08-03,14646640360.096342,23789940314.016388,203059937498.40753,380877328960.6499
2011-08-04,14606526391.055357,23727455186.22361,202618660153.2974,379688951715.8595
2011-08-05,14711796911.31073,23776740664.530006,203792961373.5123,380640133838.06195
2011-08-06,14659297482.582323,23764799525.41776,203204845527.51422,380401063133.39514
2011-08-07,14631252702.548851,23753109202.860607,202912042231.39157,380163956199.97107
2011-08-08,14646640360.096342,23715671734.558277,203059937498.40753,379450465975.6112
2011-08-09,14671260238.023851,23727455186.22361,203353570431.37204,379688951715.8595
2011-08-10,14631252702.548851,23715671734.558277,202912042231.39157,379450465975.6112
2011-08-11,14646640360.096342,23678339027.419422,203059937498.40753,378739856096.71405
2011-08-12,14631252702.548851,23690004845.598877,202912042231.39157,378975711696.3668
2011-08-13,14591176799.765245,23628850163.032837,202474658597.8461,377792997301.6978
2011-08-14,14540561788.659159,23513836031.398445,201891016080.70773,375674903606.7437
2011-08-15,14461573226.386324,23539395840.800747,201020446078.4755,376146122962.40576
2011-08-16,14619734541.852978,23652529899.653534,202766961291.5005,378266344436.9865
2011-08-17,14500665646.381199,23525834869.48377,201453681357.04987,375909242762.9396
2011-08-18,14516386485.910696,23525834869.48377,201600923802.68454,375909242762.9396
2011-08-19,14528919527.49552,23525834869.48377,201743952751.94397,375909242762.9396
2011-08-20,14489406430.86825,23474861837.974403,201310239252.69785,374968698401.9993
2011-08-21,14408150044.921656,23449823962.143486,200442321198.14218,374499034803.5689
2011-08-22,14449502503.71148,23398217723.025356,200874098643.36893,373561425969.6446
2011-08-23,14489406430.86825,23449823962.143486,201310239252.69785,374499034803.5689
2011-08-24,14476531795.667034,23424457571.978798,201163814206.5134,374029944870.89716
2011-08-25,14408150044.921656,23349176804.134308,200442321198.14218,372625038277.89606
2011-08-26,14354192529.730589,23337666975.968227,199868670982.13605,372392245968.95544
2011-08-27,14449502503.71148,23373875734.65582,200874098643.36893,373092651175.35657
2011-08-28,14395782689.367556,23288197031.358406,200296387598.084,371463671618.2071
